time,command,vx,vy,vz,yawRate,x,y,z,roll,pitch,yaw,lat,lon,alt
1770645374.2626388,backward,-50,0.0,0.0,0.0,135.2648162841797,73.56563568115234,-15.201199531555176,0.5691426588938762,-0.08930163220797172,-0.9321170286572423,47.64267987862293,-122.13919182406484,136.5360870361328
1770645374.3263843,backward,-50,0.0,0.0,0.0,135.35150146484375,73.73228454589844,-15.405794143676758,0.5698413367384847,-0.08773092787723702,-0.9319496176614551,47.64268147711568,-122.13919058026171,136.70535278320312
1770645374.3884413,backward,-50,0.0,0.0,0.0,135.42529296875,73.94866943359375,-15.652497291564941,0.5703591691633338,-0.08592955418475491,-0.9317895376652373,47.64268285025999,-122.13918902566739,136.88873291015625
1770645374.451846,backward,-50,0.0,0.0,0.0,135.46595764160156,74.14690399169922,-15.864336013793945,0.5706354001745944,-0.08454264559677516,-0.9316810576231577,47.64268400162424,-122.1391871634293,137.08531188964844
1770645374.5132473,backward,-50,0.0,0.0,0.0,135.48953247070312,74.37413787841797,-16.093996047973633,0.570829702699597,-0.08307568432970641,-0.9315863567550204,47.64268493642364,-122.13918499831937,137.2939910888672
1770645374.576318,backward,-50,0.0,0.0,0.0,135.4930419921875,74.65839385986328,-16.36502456665039,0.570972795495791,-0.08139900875728603,-0.9314999931894611,47.642685660148004,-122.13918253592175,137.5135955810547
1770645374.6386547,backward,-50,0.0,0.0,0.0,135.47622680664062,74.92491912841797,-16.605390548706055,0.5710520083740048,-0.07997423913103481,-0.9314398392579674,47.64268617897324,-122.13917978293745,137.74282836914062
1770645374.6997516,backward,-50,0.0,0.0,0.0,135.4437713623047,75.19432067871094,-16.836660385131836,0.5711017246561829,-0.07863683194888457,-0.9313937700001355,47.642686498663636,-122.1391767465752,137.9803466796875
1770645374.7618718,backward,-50,0.0,0.0,0.0,135.3836669921875,75.54093933105469,-17.11902618408203,0.5711399457136647,-0.07702452514919304,-0.9313491325818407,47.64268662566966,-122.13917343414525,138.22476196289062
1770645374.8236907,backward,-50,0.0,0.0,0.0,135.31350708007812,75.86009216308594,-17.365516662597656,0.5711616033063831,-0.07564651571385679,-0.9313186175369212,47.642686566030044,-122.13916985346548,138.47470092773438
1770645374.8838115,backward,-50,0.0,0.0,0.0,135.22731018066406,76.19524383544922,-17.611825942993164,0.571175219222902,-0.07428517247794081,-0.9312953261799836,47.64268632701868,-122.13916601215071,138.72879028320312
1770645374.947369,backward,-50,0.0,0.0,0.0,135.13096618652344,76.52806091308594,-17.844789505004883,0.5711836325172321,-0.07300420872710173,-0.9312776976142281,47.64268591398812,-122.13916191812046,138.9857177734375
1770645375.0114403,backward,-50,0.0,0.0,0.0,134.9961395263672,76.94930267333984,-18.124361038208008,0.5711902592981618,-0.0714745268776631,-0.9312604058269127,47.64268533311431,-122.1391575785834,139.24420166015625
1770645375.0724342,backward,-50,0.0,0.0,0.0,134.8490753173828,77.37049865722656,-18.388212203979492,0.5711939693047058,-0.07003370729109368,-0.9312478342187002,47.64268459029874,-122.13915300074827,139.5030517578125
1770645375.134017,backward,-50,0.0,0.0,0.0,134.70050048828125,77.76850891113281,-18.624216079711914,0.5711959588101392,-0.06874527454031097,-0.9312396651699542,47.642683691031145,-122.13914819151924,139.7611083984375
1770645375.199014,backward,-50,0.0,0.0,0.0,134.5465850830078,78.15963745117188,-18.844379425048828,0.5711972046840262,-0.06753942585162592,-0.9312329724438827,47.64268264011506,-122.13914315739433,140.017333984375
1770645375.2611926,backward,-50,0.0,0.0,0.0,134.3440704345703,78.64970397949219,-19.104881286621094,0.5711983667454408,-0.06609966047668173,-0.931226500905863,47.64268144235402,-122.1391379040593,140.27076721191406
1770645375.3235128,backward,-50,0.0,0.0,0.0,134.14405822753906,79.1126708984375,-19.33633041381836,0.5711986818213527,-0.06480956082380114,-0.9312216928189143,47.642680102277005,-122.13913243719992,140.5205078125
1770645375.3852205,backward,-50,0.0,0.0,0.0,133.95098876953125,79.54405212402344,-19.53999137878418,0.5711990723832583,-0.06366182637722455,-0.9312184699065581,47.6426786238641,-122.13912676229897,140.7657470703125
1770645375.4483798,backward,-50,0.0,0.0,0.0,133.71331787109375,80.05815124511719,-19.768505096435547,0.5711997036971306,-0.062355229647798056,-0.9312160471034149,47.64267701109532,-122.13912088372227,141.00576782226562
1770645375.511283,backward,-50,0.0,0.0,0.0,133.4961700439453,80.51451110839844,-19.95918083190918,0.5711996945816217,-0.06124687519034934,-0.9312148357642646,47.64267526712727,-122.1391148063434,141.2399139404297
1770645375.5735917,backward,-50,0.0,0.0,0.0,133.21890258789062,81.0820541381836,-20.181304931640625,0.5711996462840756,-0.059929097839736066,-0.9312133808436373,47.64267339539099,-122.13910853432516,141.4676055908203
1770645375.636684,backward,-50,0.0,0.0,0.0,132.97813415527344,81.56317138671875,-20.35732078552246,0.571199677640773,-0.05886069937634992,-0.9312123046116932,47.64267139890579,-122.13910207111967,141.68833923339844
1770645375.698509,backward,-50,0.0,0.0,0.0,132.71348571777344,82.0814437866211,-20.535062789916992,0.5711995810158501,-0.05775542173422949,-0.9312108487404034,47.64266928055373,-122.13909542028055,141.9016571044922
1770645375.7603214,backward,-50,0.0,0.0,0.0,132.38092041015625,82.71916198730469,-20.73784828186035,0.571199402068882,-0.05645741104841945,-0.9312103334793761,47.64266704266793,-122.13908858515842,142.10714721679688
1770645375.8231428,backward,-50,0.0,0.0,0.0,132.1209716796875,83.20860290527344,-20.882247924804688,0.5711990897451356,-0.05550179542405413,-0.9312102771511686,47.64266468785594,-122.13908156808849,142.30447387695312
1770645375.8856554,backward,-50,0.0,0.0,0.0,131.80645751953125,83.79154968261719,-21.042219161987305,0.5711992303478918,-0.05440675097492159,-0.9312103124148194,47.64266221803911,-122.13907437231987,142.4933624267578
1770645375.9499857,idle,0.0,0.0,0.0,0.0,131.4800567626953,84.38722229003906,-21.192913055419922,0.5711991014894149,-0.0533340781989231,-0.9312104161586846,47.642659635276075,-122.13906700039087,142.6735382080078
1770645376.013175,idle,0.0,0.0,0.0,0.0,131.09646606445312,85.0792007446289,-21.344926834106445,0.46175101892757336,-0.09498221237175142,-0.9219365351077109,47.64265694162536,-122.13905945463674,142.8448028564453
1770645376.077162,idle,0.0,0.0,0.0,0.0,130.76104736328125,85.68385314941406,-21.439184188842773,0.308159466251966,-0.1436771571789679,-0.9031341947324794,47.642654138596626,-122.13905173708821,143.00697326660156
1770645376.1385307,idle,0.0,0.0,0.0,0.0,130.47244262695312,86.20158386230469,-21.49653434753418,0.17528606119062723,-0.17851249839586242,-0.8821238767614951,47.64265122811119,-122.139043849979,143.15988159179688
1770645376.2002575,idle,0.0,0.0,0.0,0.0,130.117431640625,86.83230590820312,-21.54410171508789,0.01307987752505331,-0.20953036039672338,-0.8516739637182129,47.64264822059957,-122.13903580924948,143.30125427246094
1770645376.263315,idle,0.0,0.0,0.0,0.0,129.77671813964844,87.42886352539062,-21.572458267211914,-0.14098035374245288,-0.2279609900835015,-0.8188342892744935,47.642645202389104,-122.13902775582369,143.4092254638672
